Date,Close,Open,High,Low,Volume
2001-08-10,0.46,0.444,0.46,0.444,445000.0
2001-08-13,0.484,0.464,0.484,0.464,482000.0
2001-08-14,0.5,0.488,0.5,0.488,146000.0
2001-08-15,0.51,0.5,0.51,0.5,237000.0
2001-08-16,0.51,0.5,0.51,0.5,101000.0
2001-08-17,0.51,0.5,0.51,0.5,90000.0
2001-08-20,0.5,0.5,0.5,0.5,6000.0
2001-08-21,0.5,0.5,0.5,0.5,61000.0
2001-08-22,0.51,0.51,0.51,0.51,25000.0
2001-08-24,0.5,0.5,0.5,0.5,40000.0
2001-08-28,0.5,0.5,0.5,0.5,5000.0
2001-08-30,0.496,0.496,0.496,0.496,20000.0
2001-08-31,0.5,0.5,0.5,0.5,50000.0
2001-09-03,0.5,0.496,0.5,0.496,40000.0
2001-09-06,0.5,0.5,0.5,0.5,10000.0
2001-11-07,0.5,0.5,0.5,0.5,10000.0
2002-01-08,0.51,0.51,0.51,0.51,85000.0
2002-01-15,0.52,0.52,0.52,0.52,3000.0
2002-03-01,0.54,0.54,0.54,0.54,16000.0
2003-04-08,0.6,0.54,0.6,0.54,30000.0
2003-06-05,0.6,0.6,0.6,0.6,80000.0
2003-06-06,0.6,0.6,0.6,0.6,50000.0
2003-06-09,0.62,0.62,0.62,0.62,70000.0
2003-06-10,0.6,0.56,0.6,0.56,40000.0
2003-06-26,0.62,0.62,0.62,0.62,50000.0
2003-06-30,0.66,0.62,0.66,0.62,100000.0
2003-07-04,0.66,0.66,0.66,0.66,51000.0
2003-07-07,0.67,0.66,0.67,0.66,70000.0
2003-07-08,0.68,0.68,0.68,0.68,20000.0
2003-07-10,0.67,0.67,0.67,0.67,30000.0
2003-07-11,0.68,0.68,0.68,0.68,20000.0
2003-07-15,0.69,0.69,0.69,0.69,70000.0
2003-07-17,0.69,0.69,0.69,0.69,20000.0
2003-07-23,0.7,0.7,0.7,0.7,10000.0
2003-09-10,0.58,0.6,0.6,0.58,30000.0
2003-09-18,0.5,0.5,0.5,0.5,10000.0
2003-09-19,0.5,0.5,0.5,0.5,50000.0
2003-09-23,0.5,0.5,0.5,0.5,100000.0
2003-10-22,0.5,0.5,0.5,0.5,100000.0
2003-12-09,0.52,0.52,0.52,0.52,50000.0
2004-01-06,0.52,0.52,0.52,0.52,60000.0
2004-01-09,0.52,0.52,0.52,0.52,40000.0
2004-01-13,0.5,0.5,0.5,0.5,50000.0
2004-01-16,0.5,0.5,0.5,0.5,50000.0
2004-01-20,0.5,0.5,0.5,0.5,50000.0
2004-01-22,0.52,0.52,0.52,0.52,30000.0
2004-01-23,0.52,0.52,0.52,0.52,60000.0
2004-01-26,0.5,0.5,0.5,0.5,10000.0
2004-02-02,0.54,0.54,0.54,0.54,50000.0
2004-02-04,0.52,0.52,0.52,0.52,50000.0
2004-06-15,0.54,0.54,0.56,0.54,200000.0
2004-12-06,0.56,0.54,0.56,0.54,120000.0
