Date,Close,Open,High,Low,Volume
2013-11-11,56.5,56.0,57.3,53.6,32673050.0
2013-11-12,59.0,57.05,59.0,57.05,20931780.0
2013-11-13,59.9,59.0,60.5,59.0,17332280.0
2013-11-14,59.6,60.0,60.2,59.0,3594170.0
2013-11-15,58.7,59.6,60.0,58.7,4308570.0
2013-11-18,58.95,59.0,59.95,58.2,3386230.0
2013-11-19,59.5,58.95,59.7,58.6,7624650.0
2013-11-20,58.1,59.0,59.0,58.0,7972690.0
2013-11-21,57.95,58.2,58.5,57.8,8987600.0
2013-11-22,57.85,57.8,57.95,57.8,5292020.0
2013-11-25,57.65,57.85,57.9,57.65,2440350.0
2013-11-26,58.0,57.7,58.05,57.65,7528060.0
2013-11-27,57.2,58.0,58.05,57.2,5299040.0
2013-11-28,57.1,57.2,57.2,57.0,1029300.0
2013-11-29,56.15,57.1,57.1,55.5,2760400.0
2013-12-02,56.0,56.1,56.15,55.75,1582960.0
2013-12-03,56.5,56.0,56.5,55.95,2442880.0
2013-12-04,55.8,56.2,56.55,55.8,1463560.0
2013-12-05,55.2,55.8,55.8,54.0,3687920.0
2013-12-06,55.0,55.0,55.15,54.85,1413860.0
2013-12-09,54.95,54.9,55.0,54.9,637400.0
2013-12-10,54.95,55.0,55.0,54.9,3946410.0
2013-12-11,54.0,55.0,55.0,54.0,1888310.0
2013-12-12,50.0,53.9,53.9,50.0,1756300.0
2013-12-13,50.1,50.0,50.9,48.0,8279530.0
2013-12-16,51.0,50.0,52.8,49.8,5708260.0
2013-12-17,52.5,51.3,52.8,51.3,5616030.0
2013-12-18,53.7,52.55,54.95,52.4,783040.0
2013-12-19,57.3,55.0,58.0,54.25,1070250.0
2013-12-20,56.95,57.0,57.0,55.0,1788070.0
2013-12-23,56.95,56.95,56.95,56.95,50100.0
2013-12-26,56.9,56.95,56.95,55.05,201910.0
2013-12-27,55.2,56.9,57.0,55.1,190980.0
2014-01-02,58.0,57.2,58.45,57.2,836140.0
2014-01-03,58.1,58.0,58.5,58.0,992050.0
2014-01-06,58.1,58.1,59.0,58.0,3895140.0
2014-01-07,58.0,58.1,58.35,57.95,709780.0
2014-01-08,58.1,58.0,58.2,58.0,455450.0
2014-01-09,58.0,58.1,58.1,57.95,982770.0
2014-01-10,58.0,58.0,58.0,57.7,365500.0
2014-01-13,58.0,57.75,58.0,57.5,378260.0
2014-01-14,58.0,58.25,58.25,57.0,303240.0
2014-01-15,58.2,58.0,60.2,58.0,1288030.0
2014-01-16,58.0,57.5,58.0,57.5,48830.0
2014-01-17,58.25,58.0,58.25,58.0,28070.0
2014-01-20,57.1,58.0,58.0,57.1,388630.0
2014-01-21,57.05,56.6,57.1,56.45,1182990.0
2014-01-22,58.0,57.1,58.5,57.1,2418250.0
2014-01-23,58.3,58.15,59.0,58.15,1204500.0
2014-01-24,58.3,57.7,58.7,57.65,235190.0
2014-01-27,58.85,58.2,59.0,58.0,1225730.0
2014-01-28,58.3,58.8,58.8,58.1,278980.0
2014-01-29,59.85,58.6,60.5,58.6,3166100.0
2014-01-30,59.5,59.8,59.8,59.1,2668660.0
2014-02-03,58.95,59.5,59.5,58.95,2426930.0
2014-02-04,57.95,58.9,58.9,57.0,1540690.0
2014-02-05,57.6,58.5,58.5,57.05,2486290.0
2014-02-06,57.6,57.6,57.7,57.4,3953430.0
2014-02-07,59.0,57.7,59.0,57.7,3049000.0
2014-02-10,64.0,59.0,64.5,59.0,1691460.0
2014-02-11,64.0,64.15,67.0,63.95,4495260.0
2014-02-12,62.1,65.2,67.0,62.1,1762480.0
2014-02-13,61.7,62.0,62.5,61.6,626210.0
2014-02-14,62.0,62.9,64.0,61.75,3922220.0
2014-02-17,62.1,63.3,63.8,62.05,684010.0
2014-02-18,62.5,62.2,63.5,62.0,403560.0
2014-02-19,62.6,63.0,63.25,62.5,889960.0
2014-02-20,63.5,63.2,64.5,63.2,1182270.0
2014-02-21,63.3,63.45,63.9,63.0,314720.0
2014-02-24,63.2,63.6,63.75,63.1,875800.0
2014-02-25,63.2,62.2,63.4,62.0,2469220.0
2014-02-26,63.2,62.1,63.2,62.1,4368100.0
2014-02-27,63.7,63.5,64.1,63.0,1103790.0
2014-02-28,66.85,64.75,67.5,64.75,2343660.0
2014-03-03,66.15,66.8,66.9,65.35,1629830.0
2014-03-04,67.0,66.1,67.0,65.05,5071240.0
2014-03-05,68.8,67.0,69.95,67.0,3631040.0
2014-03-06,68.3,68.8,69.45,68.05,1259590.0
2014-03-07,68.4,68.5,68.5,68.0,1438140.0
2014-03-10,67.7,68.25,68.25,67.0,796410.0
2014-03-11,67.8,67.5,68.0,67.05,1689480.0
2014-03-12,66.8,67.8,67.8,64.65,1116690.0
2014-03-13,67.7,67.0,68.0,67.0,514660.0
2014-03-14,68.1,67.65,68.1,67.6,971570.0
2014-03-17,67.0,67.0,67.65,66.15,378430.0
2014-03-18,67.6,67.1,67.95,67.1,1408790.0
2014-03-19,66.5,67.7,67.7,66.5,239570.0
2014-03-20,65.0,66.2,66.2,64.6,652060.0
2014-03-21,65.6,65.6,66.0,65.35,1112910.0
2014-03-24,64.0,65.1,65.6,64.0,396130.0
2014-03-25,65.1,64.5,65.45,64.5,247150.0
2014-03-26,65.0,64.6,65.05,64.6,28880.0
2014-03-27,65.2,64.5,66.0,64.0,1511060.0
2014-03-28,65.0,65.2,65.5,62.0,2749350.0
2014-03-31,68.0,65.0,68.0,65.0,2181060.0
2014-04-01,67.9,68.0,68.05,67.05,1087250.0
2014-04-02,67.0,67.95,68.0,66.7,506650.0
2014-04-03,67.9,67.5,68.0,67.0,135150.0
2014-04-04,69.6,67.5,70.15,67.5,1859860.0
2014-04-07,68.4,69.0,69.0,68.2,302160.0
2014-04-08,68.3,68.7,68.7,68.0,335080.0
2014-04-10,68.9,68.65,69.0,68.6,266160.0
2014-04-11,68.0,68.9,68.9,67.9,732900.0
2014-04-14,68.0,68.0,68.25,67.7,4042210.0
2014-04-15,68.6,68.25,68.8,68.05,161410.0
2014-04-16,69.0,69.0,69.5,68.9,2410890.0
2014-04-21,68.9,69.0,69.0,68.25,81110.0
2014-04-22,69.0,68.9,69.95,68.9,1118860.0
2014-04-23,69.15,69.0,69.2,69.0,135230.0
2014-04-24,70.2,69.15,70.5,69.15,652000.0
2014-04-25,69.5,70.1,70.1,69.5,458810.0
2014-04-28,67.15,69.0,69.0,66.9,765060.0
2014-04-29,67.0,67.4,67.4,66.95,688230.0
2014-04-30,67.0,67.8,67.8,66.7,5128010.0
2014-05-02,67.05,67.0,67.25,67.0,1702810.0
2014-05-05,68.1,67.1,68.1,67.1,702690.0
2014-05-06,69.5,68.1,69.5,68.1,569770.0
2014-05-07,69.8,69.5,69.8,69.5,147200.0
2014-05-08,71.5,69.85,72.0,69.8,3694870.0
2014-05-09,71.5,71.45,71.9,70.0,1572050.0
2014-05-12,71.5,71.5,71.55,71.45,1567680.0
2014-05-13,71.6,71.5,71.7,71.5,814430.0
2014-05-14,71.1,71.0,71.1,70.0,1344010.0
