Date,Close,Open,High,Low,Volume
2021-03-29,39.5,38.5,40.0,38.05,422500.0
2021-03-30,40.8,39.1,41.5,39.1,305300.0
2021-03-31,40.7,40.6,41.0,40.2,88300.0
2021-04-05,40.9,40.7,41.0,40.7,159400.0
2021-04-06,40.9,40.9,40.95,40.75,124400.0
2021-04-07,41.2,41.0,41.3,40.9,160400.0
2021-04-08,42.6,41.25,42.8,41.25,255200.0
2021-04-12,43.45,42.8,43.55,42.6,247400.0
2021-04-13,43.3,43.5,43.5,42.85,30800.0
2021-04-14,45.05,43.5,45.95,43.3,175800.0
2021-04-15,45.3,45.9,45.9,44.25,71000.0
2021-04-16,47.5,45.4,47.5,45.4,230600.0
2021-04-19,45.5,47.45,47.45,44.05,166600.0
2021-04-20,45.25,45.5,45.6,45.0,67000.0
2021-04-21,45.7,45.25,45.9,45.1,46300.0
2021-04-22,45.25,45.3,45.45,45.2,36400.0
2021-04-23,44.0,45.05,45.1,44.0,155500.0
2021-04-26,43.4,44.0,44.8,43.1,45100.0
2021-04-27,43.8,43.6,44.7,43.05,28800.0
2021-04-28,44.15,44.0,44.15,43.5,72900.0
2021-04-29,44.4,43.65,45.9,43.65,112900.0
2021-04-30,45.0,44.4,45.0,44.2,58800.0
2021-05-03,44.3,44.15,44.5,43.65,46700.0
2021-05-04,44.4,44.35,45.0,44.35,70100.0
2021-05-05,44.55,44.5,44.55,44.4,44900.0
2021-05-06,44.25,44.45,44.6,44.25,301700.0
2021-05-07,44.15,44.25,44.25,43.95,269200.0
2021-05-11,44.5,44.45,45.0,44.45,71300.0
2021-05-12,44.5,44.5,44.6,44.45,50300.0
2021-05-14,44.05,44.5,44.55,44.0,58300.0
2021-05-17,44.05,44.0,44.05,43.9,220800.0
2021-05-18,43.9,44.0,44.05,43.9,45800.0
2021-05-19,43.1,43.95,43.95,42.9,81100.0
2021-05-20,42.8,43.1,43.15,42.8,45900.0
2021-05-21,42.75,42.8,43.0,42.6,20100.0
2021-05-24,42.15,42.8,42.8,42.15,36600.0
2021-05-25,42.0,42.1,42.15,41.9,149000.0
2021-05-26,41.65,41.95,41.95,41.65,239300.0
2021-05-27,41.85,41.95,42.9,41.45,346300.0
2021-05-28,41.8,41.9,42.0,41.55,105700.0
2021-05-31,42.6,41.9,42.6,41.9,104900.0
2021-06-01,42.15,42.35,42.35,41.95,131000.0
2021-06-02,42.9,42.15,43.0,42.15,83500.0
2021-06-03,44.6,43.5,44.7,43.0,192900.0
2021-06-04,45.65,44.6,45.7,44.6,144800.0
2021-06-07,45.85,46.0,46.45,45.65,108600.0
2021-06-08,45.9,46.0,46.0,45.65,118500.0
2021-06-09,47.45,45.9,47.5,45.9,131400.0
2021-06-10,48.15,47.5,48.2,46.8,106300.0
2021-06-11,48.2,48.2,48.3,48.1,221000.0
2021-06-14,49.3,48.3,50.0,48.15,115600.0
2021-06-15,51.5,50.0,52.5,49.7,288800.0
2021-06-16,53.05,52.0,53.2,51.6,169370.0
2021-06-17,51.5,53.05,53.35,50.25,151390.0
2021-06-18,50.25,51.5,51.5,49.2,181740.0
2021-06-21,50.0,50.2,50.2,49.6,132960.0
2021-06-22,51.5,49.85,51.5,49.85,89120.0
