Date,Close,Open,High,Low,Volume
2019-10-07,4.69,5.29,5.3,4.19,188153500.0
2019-10-08,4.7,4.5,4.78,4.24,58083000.0
2019-10-09,4.54,4.6,4.76,4.48,24625000.0
2019-10-10,4.51,4.51,4.52,4.34,19949000.0
2019-10-11,4.5,4.53,4.58,4.44,9932000.0
2019-10-14,4.47,4.5,4.57,4.43,10544000.0
2019-10-15,4.35,4.47,4.47,4.35,7394000.0
2019-10-16,4.34,4.35,4.41,4.3,5018000.0
2019-10-17,4.43,4.34,4.48,4.34,7897000.0
2019-10-18,4.4,4.47,4.49,4.4,3318000.0
2019-10-21,4.4,4.43,4.46,4.35,2549000.0
2019-10-22,4.37,4.4,4.47,4.37,1872000.0
2019-10-23,4.34,4.38,4.39,4.33,2569000.0
2019-10-24,4.25,4.34,4.34,4.25,5037000.0
2019-10-25,4.01,4.24,4.27,3.95,14273000.0
2019-10-28,3.72,4.01,4.04,3.7,11750000.0
2019-10-29,3.69,3.74,3.8,3.6,9673000.0
2019-10-30,3.81,3.69,3.91,3.68,8169000.0
2019-10-31,3.89,3.84,3.94,3.84,4205000.0
2019-11-04,3.99,3.89,4.03,3.78,6540000.0
2019-11-05,4.14,4.02,4.15,3.93,5163000.0
2019-11-06,4.07,4.15,4.16,4.04,4251000.0
2019-11-07,4.15,4.19,4.21,4.09,4608000.0
2019-11-08,4.09,4.15,4.15,4.07,1938000.0
2019-11-11,4.07,4.08,4.12,4.0,1973000.0
2019-11-12,4.04,4.12,4.12,4.03,2316000.0
2019-11-13,3.9,4.1,4.1,3.88,2980000.0
2019-11-14,3.82,3.9,3.91,3.8,2144000.0
2019-11-15,3.68,3.85,3.85,3.66,3207000.0
2019-11-18,3.77,3.69,3.8,3.69,6645000.0
2019-11-19,3.78,3.79,3.91,3.78,3871000.0
2019-11-20,3.74,3.78,3.78,3.61,4005000.0
2019-11-21,3.65,3.74,3.74,3.5,4270000.0
2019-11-22,3.62,3.71,3.73,3.61,2878000.0
2019-11-25,3.72,3.79,3.8,3.65,2823000.0
2019-11-26,3.67,3.73,3.73,3.66,771000.0
2019-11-27,3.68,3.67,3.68,3.55,1937000.0
2019-11-28,3.58,3.68,3.68,3.58,1109000.0
2019-11-29,3.35,3.58,3.58,3.3,8702000.0
2019-12-02,3.24,3.37,3.37,3.1,3064000.0
2019-12-03,3.27,3.24,3.3,3.12,1347000.0
2019-12-04,3.12,3.28,3.3,3.11,3399000.0
2019-12-05,3.03,3.11,3.2,3.0,3159000.0
2019-12-06,3.03,3.03,3.08,2.97,2137000.0
2019-12-09,2.85,3.01,3.05,2.85,3080000.0
2019-12-10,2.6,2.84,2.86,2.57,3764000.0
2019-12-11,2.74,2.6,2.77,2.6,4593000.0
2019-12-12,2.91,2.77,2.92,2.77,4412000.0
2019-12-13,2.85,2.93,2.95,2.8,2646000.0
2019-12-16,2.83,2.85,2.86,2.78,1040000.0
2019-12-17,2.66,2.84,2.85,2.5,4560000.0
2019-12-18,2.56,2.66,2.66,2.56,2064000.0
2019-12-19,2.46,2.6,2.6,2.46,3455000.0
2019-12-20,2.54,2.47,2.57,2.46,2719000.0
2019-12-23,2.58,2.55,2.67,2.54,8049000.0
2019-12-26,2.71,2.58,2.75,2.58,5463000.0
2019-12-27,2.61,2.76,2.78,2.61,4775000.0
2020-01-02,2.63,2.61,2.65,2.52,1916000.0
2020-01-03,2.9,2.66,2.9,2.66,4253000.0
2020-01-06,3.09,2.93,3.09,2.79,5992000.0
2020-01-07,3.14,3.14,3.18,3.03,5348000.0
2020-01-08,2.96,3.03,3.03,2.88,4105000.0
2020-01-09,3.12,2.97,3.13,2.95,3872000.0
2020-01-10,3.06,3.12,3.23,3.06,3788000.0
2020-01-13,3.06,3.12,3.23,3.06,3788000.0
2020-01-14,2.95,3.06,3.07,2.91,3738000.0
2020-01-15,3.0,2.98,3.05,2.96,1064000.0
2020-01-16,2.74,3.04,3.05,2.73,6837000.0
2020-01-17,2.82,2.75,2.84,2.75,3090000.0
2020-01-20,2.89,2.83,2.95,2.74,3671000.0
2020-01-21,2.89,2.9,2.91,2.81,2271000.0
2020-01-22,3.5,2.94,3.5,2.9,21305000.0
2020-01-23,3.36,3.52,3.53,3.31,13450000.0
2020-01-24,3.6,3.36,3.71,3.23,16769000.0
2020-01-27,3.4,3.63,3.65,3.31,6995000.0
2020-01-28,3.23,3.39,3.45,3.17,6030000.0
2020-01-29,3.12,3.23,3.33,3.12,3794000.0
2020-01-30,3.31,3.15,3.36,3.15,4196000.0
2020-01-31,3.05,3.32,3.46,2.98,7429000.0
2020-02-03,2.78,2.95,2.95,2.71,6269000.0
2020-02-04,2.84,2.76,2.91,2.65,7038000.0
2020-02-05,3.08,2.88,3.13,2.85,8275000.0
2020-02-06,3.14,3.16,3.23,3.01,6629000.0
2020-02-07,3.04,3.14,3.16,2.99,3687000.0
2020-02-10,2.89,3.02,3.08,2.89,2935000.0
2020-02-11,2.9,2.87,2.93,2.78,2806000.0
2020-02-12,2.81,2.86,2.93,2.8,1925000.0
2020-02-13,2.76,2.84,2.86,2.71,2098000.0
2020-02-14,2.82,2.82,2.86,2.78,926000.0
2020-02-17,2.89,2.86,2.91,2.83,1353000.0
2020-02-18,3.01,2.9,3.08,2.9,2847000.0
2020-02-19,2.94,3.09,3.09,2.85,2769000.0
2020-02-20,3.09,2.95,3.09,2.93,3362000.0
2020-02-21,3.16,3.11,3.25,3.05,5191000.0
2020-02-24,2.91,3.16,3.16,2.9,2933000.0
2020-02-26,2.78,2.85,2.85,2.66,2386000.0
2020-02-27,2.83,2.75,2.88,2.75,1676000.0
2020-02-28,2.65,2.77,2.77,2.65,4841000.0
2020-03-02,2.42,2.65,2.65,2.34,8220000.0
2020-03-03,2.44,2.48,2.54,2.44,2490000.0
2020-03-04,2.32,2.44,2.48,2.31,3582000.0
2020-03-05,2.4,2.38,2.41,2.3,2749000.0
2020-03-06,2.34,2.39,2.42,2.32,1393000.0
2020-03-09,1.94,2.27,2.27,1.92,5040000.0
2020-03-10,2.13,1.94,2.13,1.8,3742000.0
2020-03-11,2.25,2.15,2.26,2.14,3053000.0
2020-03-12,2.05,2.26,2.3,2.0,4362000.0
2020-03-13,2.02,1.97,2.04,1.85,2882000.0
2020-03-16,1.9,2.0,2.0,1.81,1326000.0
2020-03-17,1.9,2.0,2.0,1.81,1326000.0
2020-03-19,1.9,1.91,1.95,1.75,1341000.0
2020-03-20,1.95,1.9,1.98,1.9,440000.0
2020-03-23,1.89,1.94,1.94,1.88,647000.0
2020-03-24,1.93,1.93,1.98,1.89,586000.0
2020-03-25,2.04,1.95,2.04,1.95,864000.0
2020-03-26,2.11,2.05,2.15,2.05,831000.0
2020-03-27,2.03,2.13,2.24,2.0,1328000.0
2020-03-30,2.08,2.0,2.08,1.94,919000.0
2020-03-31,2.19,2.11,2.19,2.11,1212000.0
2020-04-01,2.29,2.19,2.4,2.13,1797000.0
2020-04-02,2.4,2.29,2.4,2.23,1337000.0
2020-04-03,2.5,2.45,2.5,2.4,2270000.0
2020-04-06,2.51,2.55,2.64,2.51,3752000.0
2020-04-07,2.53,2.55,2.64,2.51,2608000.0
2020-04-08,2.58,2.53,2.63,2.49,1591000.0
2020-04-13,2.51,2.56,2.62,2.5,923000.0
2020-04-14,2.5,2.51,2.57,2.5,1189000.0
2020-04-15,2.5,2.51,2.58,2.49,1854000.0
2020-04-16,2.47,2.5,2.5,2.45,1943000.0
2020-04-17,2.52,2.46,2.52,2.45,1695000.0
2020-04-20,2.64,2.55,2.76,2.54,5037000.0
2020-04-21,2.6,2.66,2.74,2.59,31435000.0
2020-04-22,2.65,2.63,2.88,2.61,7495000.0
2020-04-23,2.61,2.67,2.75,2.61,3976000.0
2020-04-24,2.67,2.61,2.72,2.6,1955000.0
2020-04-27,2.92,2.9,3.04,2.82,10113000.0
2020-04-28,3.0,2.92,3.05,2.89,5049000.0
2020-04-29,3.0,3.04,3.08,2.95,3567000.0
2020-04-30,2.96,3.02,3.06,2.93,1706000.0
2020-05-04,3.02,2.94,3.04,2.83,3282000.0
2020-05-05,3.05,3.04,3.12,2.99,5041000.0
2020-05-06,2.95,3.03,3.03,2.89,2183000.0
2020-05-07,2.82,2.95,3.0,2.82,1937000.0
2020-05-08,2.87,2.84,2.89,2.79,1557000.0
2020-05-11,2.95,2.88,2.97,2.86,899000.0
2020-05-12,2.87,2.94,2.94,2.87,743000.0
2020-05-13,2.91,2.9,2.93,2.9,1172000.0
2020-05-14,2.91,2.9,2.93,2.84,819000.0
2020-05-15,2.9,2.92,2.93,2.9,289000.0
2020-05-18,2.7,2.94,2.94,2.68,1560000.0
2020-05-19,2.72,2.7,2.75,2.66,922000.0
2020-05-20,2.75,2.72,2.78,2.71,284000.0
2020-05-21,2.7,2.77,2.77,2.69,247000.0
2020-05-22,2.75,2.69,2.75,2.69,941000.0
2020-05-26,2.57,2.75,2.76,2.54,894000.0
2020-05-27,2.59,2.57,2.62,2.57,198000.0
2020-05-28,2.58,2.58,2.58,2.56,216000.0
2020-05-29,2.54,2.58,2.58,2.54,662000.0
2020-06-01,2.56,2.54,2.58,2.5,1124000.0
2020-06-02,2.65,2.55,2.7,2.55,1062000.0
2020-06-03,2.74,2.7,2.74,2.66,853000.0
2020-06-04,2.8,2.8,2.9,2.76,1216000.0
2020-06-05,2.83,2.82,2.87,2.8,748000.0
2020-06-08,2.9,2.83,2.9,2.83,1859000.0
2020-06-09,2.86,2.9,2.9,2.77,1325000.0
2020-06-10,2.73,2.84,2.86,2.73,1242000.0
2020-06-11,2.77,2.73,2.79,2.65,1309000.0
2020-06-15,2.63,2.76,2.76,2.56,880000.0
2020-06-16,2.68,2.63,2.7,2.57,977000.0
2020-06-17,2.67,2.68,2.68,2.63,922000.0
2020-06-18,2.61,2.64,2.65,2.55,29092000.0
2020-06-19,2.75,2.6,2.77,2.58,1564000.0
2020-06-22,2.7,2.78,2.85,2.67,1764000.0
2020-06-23,2.63,2.73,2.73,2.59,1213000.0
2020-06-24,2.6,2.63,2.65,2.59,854000.0
2020-06-25,2.59,2.6,2.64,2.59,750000.0
2020-06-26,2.65,2.6,2.66,2.58,787000.0
2020-06-29,2.54,2.59,2.59,2.5,1310000.0
2020-06-30,2.58,2.58,2.63,2.57,483000.0
2020-07-01,2.53,2.58,2.59,2.53,269000.0
2020-07-02,2.55,2.53,2.58,2.53,276000.0
2020-07-03,2.57,2.55,2.59,2.55,245000.0
2020-07-06,2.54,2.59,2.59,2.54,634000.0
2020-07-07,2.56,2.58,2.58,2.55,569000.0
2020-07-08,2.51,2.56,2.56,2.5,977000.0
2020-07-09,2.4,2.51,2.55,2.4,2041000.0
2020-07-10,2.4,2.36,2.45,2.36,568000.0
2020-07-13,2.48,2.37,2.48,2.35,475000.0
2020-07-14,2.46,2.52,2.54,2.46,641000.0
2020-07-15,2.35,2.44,2.44,2.3,1094000.0
2020-07-16,2.29,2.35,2.35,2.2,1004000.0
2020-07-17,2.28,2.33,2.33,2.28,225000.0
2020-07-20,2.28,2.32,2.32,2.26,521000.0
2020-07-21,2.23,2.32,2.32,2.18,1392000.0
2020-07-22,2.2,2.23,2.24,2.18,1959000.0
2020-07-23,2.15,2.24,2.24,2.02,3005000.0
2020-07-24,2.05,2.2,2.2,2.05,1046000.0
2020-07-27,1.88,2.05,2.05,1.88,3237000.0
2020-07-28,1.89,1.96,2.0,1.89,10483000.0
2020-07-29,2.06,1.93,2.07,1.85,4592000.0
2020-07-30,2.07,2.1,2.1,1.99,3437000.0
2020-08-03,1.91,1.93,1.97,1.85,3457000.0
2020-08-04,2.05,1.91,2.06,1.91,4121000.0
2020-08-05,2.15,2.05,2.17,2.01,11852000.0
2020-08-06,2.13,2.17,2.22,2.12,13676000.0
2020-08-07,2.17,2.15,2.2,2.13,20986000.0
2020-08-10,2.34,2.19,2.37,2.19,23083000.0
2020-08-11,2.4,2.36,2.41,2.3,16374000.0
2020-08-12,2.35,2.4,2.4,2.3,1123000.0
2020-08-13,2.37,2.35,2.39,2.33,608000.0
2020-08-14,2.35,2.38,2.38,2.32,1601000.0
2020-08-17,2.38,2.35,2.38,2.35,1681000.0
2020-08-18,2.36,2.38,2.38,2.35,373000.0
2020-08-19,2.48,2.38,2.55,2.37,211040000.0
2020-08-20,2.42,2.49,2.53,2.38,2090000.0
2020-08-24,2.37,2.4,2.4,2.37,1627000.0
2020-08-25,2.36,2.39,2.4,2.32,1790000.0
2020-08-26,2.37,2.37,2.39,2.37,1094000.0
2020-08-27,2.45,2.37,2.46,2.23,4639000.0
2020-08-28,2.49,2.45,2.52,2.45,19564000.0
2020-09-01,2.45,2.5,2.5,2.42,11468000.0
2020-09-02,2.39,2.45,2.45,2.38,17725000.0
2020-09-03,2.56,2.4,2.56,2.4,13548000.0
2020-09-04,2.51,2.58,2.6,2.48,1482000.0
2020-09-07,2.44,2.49,2.6,2.4,11007000.0
2020-09-08,2.38,2.45,2.45,2.36,19905000.0
2020-09-09,2.32,2.37,2.39,2.31,1643000.0
2020-09-10,2.34,2.31,2.37,2.31,406000.0
2020-09-11,2.38,2.36,2.38,2.31,489000.0
2020-09-14,2.41,2.36,2.43,2.36,1142000.0
2020-09-15,2.35,2.43,2.43,2.35,3614000.0
2020-09-16,2.43,2.35,2.44,2.33,21691000.0
2020-09-17,2.43,2.45,2.45,2.38,656000.0
2020-09-18,2.57,2.43,2.57,2.39,3864000.0
2020-09-21,2.46,2.59,2.59,2.43,1861000.0
2020-09-22,2.54,2.46,2.54,2.4,2654000.0
2020-09-23,2.54,2.52,2.55,2.49,1635000.0
2020-09-24,2.55,2.5,2.56,2.46,826000.0
